iter	Passed	Remaining
0	1	117
1	2	116
2	3	111
3	4	99
4	5	96
5	5	92
6	6	91
7	7	88
8	8	86
9	9	84
10	10	83
11	11	82
12	11	80
13	12	78
14	13	76
15	14	75
16	15	74
17	15	72
18	16	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	22	65
26	23	64
27	24	63
28	25	61
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	55
37	33	54
38	34	53
39	34	52
40	35	51
41	36	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	44
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
